Species,duration,disttomax,Start2End:Δfreq/Time,Min2Max:Δfreq/time,peak freq@start,peak freq@end,peak freq@centre,peak freq@maxamp,MIN FREQ,MAX FREQ,Call Bandwidth,StarttoPeak:Δfreq/time,# Modulations,inter-peak duration
7,0.0428,0.0308,7941.737,-24058.791,7530,7190,7490,7360,7190,8220,1030,-81434.664,4,0.0188
7,0.0536,0.0322,-4842.061,-19182.01,6500,6760,6970,6890,6500,7530,1030,-88593.75,4,0.0159
7,0.0573,0.0297,2093.354,-10466.772,6580,6460,6630,6630,6370,6970,600,-21533.203,2,0.0116
7,0.0431,0.013,-10886.029,-17834.559,6460,6930,6890,6930,6460,7230,770,-94171.883,5,0.0126
7,0.0478,0.0224,4593.75,-17122.16,7360,7140,7270,7400,7140,7960,820,-28940.625,4,0.0112
7,0.0428,0.0148,-7007.415,-28029.66,6630,6930,6800,6800,6630,7830,1200,-47775,6,0.0152
7,0.0319,0.0174,3758.523,-18792.613,7010,6890,6800,6930,6800,7400,600,-34453.129,4,0.0141
7,0.0417,0.0268,-1917.391,-18454.891,6760,6840,7360,6710,6630,7400,770,-92531.25,6,0.0116
7,0.0424,0.0228,5182.692,-18375,6890,6670,6710,6760,6410,7190,780,-59259.375,6,0.0126
7,0.0348,0.0152,-4880.86,-19810.549,6800,6970,7010,6890,6800,7490,690,-51187.5,5,0.0156
7,0.0399,0.029,-2255.114,-21548.865,6670,6760,7400,6970,6670,7530,860,-64665.867,6,0.0134
7,0.0322,0.0246,7742.275,-21058.988,6580,6330,6800,6580,6330,7010,680,-47407.5,4,0.0134
7,0.0569,0.0286,-1404.459,-24051.354,6460,6540,6760,6760,6460,7830,1370,-68906.258,6,0.0152
7,0.0243,0.009,-5347.948,-30442.166,7100,7230,7010,7060,7010,7750,740,-48639.707,6,0.0156
7,0.0362,0.0181,-14332.5,-22601.25,6150,6670,6540,6540,6070,6890,820,-87791.672,4,0.0137
7,0.0624,0.0344,-640.988,-19389.898,6760,6800,7400,7620,6580,7790,1210,-107744.32,8,0.0134
7,0.0555,0.042,2341.912,-17834.559,7450,7320,7530,7620,7270,8260,990,-103764.711,7,0.0134
7,0.0399,0.0275,-10774.433,-40842.613,6760,7190,7700,7230,6630,8260,1630,-82687.5,5,0.0148
7,0.0497,0.0148,-9656.935,-78864.961,6410,6890,6890,6710,6410,10330,3920,-30463.816,5,0.017
7,0.037,0.0137,-11619.485,-23238.971,6370,6800,7010,6460,6370,7230,860,-43640.629,4,0.0141
7,0.046,0.0388,-24307.088,-31903.053,6970,8090,7490,7530,6970,8440,1470,-90956.25,6,0.0134
7,0.0333,0.029,-38647.422,-64711.961,6890,8180,7190,7790,6840,9000,2160,-113557.5,5,0.0116
7,0.0341,0.0156,-4984.708,-32840.426,6630,6800,7010,6930,6630,7750,1120,-98844.836,4,0.0137
7,0.0275,0.0217,-28287.83,-50047.699,6970,7750,7230,7010,6580,7960,1380,-41788.305,4,0.0137
7,0.0504,0.0177,-4362.41,-22208.633,7010,7230,8050,7060,7010,8130,1120,-78511.367,6,0.0141
7,0.0275,0.0025,-7978.619,-51498.355,6970,7190,7320,7190,6970,8390,1420,-50163.75,4,0.0141
7,0.0337,0.0036,-3852.823,-29340.727,6540,6670,6670,6500,6410,7400,990,-45397.063,4,0.0148
7,0.0304,0.0126,25593.75,-53484.375,7320,6540,6890,6760,6500,8130,1630,-117906.25,4,0.0148
7,0.0116,0.0039,-55125,-62876.953,8010,8650,8090,7920,7920,8650,730,-48639.707,3,0.0134
7,0.0493,0.0203,7093.291,-18442.557,7360,7010,7230,7060,7010,7920,910,-70159.094,7,0.0156
7,0.0373,0.0192,2408.374,-19534.588,6500,6410,6630,6580,6200,6930,730,-13781.25,4,0.0163
7,0.0388,0.0228,3348.715,-22410.631,6710,6580,6890,6970,6580,7450,870,-66937.5,4,0.0163
8,0.038,0.021,-36225.004,-40687.504,7790,9170,8390,8130,7790,9340,1550,-199828.125,7,0.0126
8,0.0431,0.0206,-17834.559,-50955.883,7360,8130,8180,8180,7360,9560,2200,-286974.281,6,0.0112
8,0.0609,0.0293,-11976.563,-28218.75,7750,8480,8570,8610,7230,8950,1720,-268734.406,9,0.0112
8,0.0395,0.029,-4298.738,-52343.461,7660,7830,6710,6930,6500,8570,2070,152250,6,0.0116
8,0.0515,0.0221,20963.027,-34161.973,8780,7700,7830,8910,7490,9250,1760,-217437.5,7,0.0112
8,0.0468,0.0268,11110.465,-42305.23,8740,8220,8480,7790,7360,9340,1980,229113.281,6,0.0112
8,0.0471,0.0268,5512.5,-41131.73,7190,6930,8610,7100,6670,8610,1940,99649.039,6,0.0148
8,0.0399,0.0243,-20296.023,-50614.773,8570,9380,8090,9170,7450,9470,2020,-280636.375,3,0.0112
8,0.0457,0.025,0,-43312.5,6890,6890,7880,7060,6670,8650,1980,-89340.523,4,0.0159
8,0.0417,0.0282,19653.262,-42422.281,7960,7140,7100,8390,6800,8570,1770,-133218.766,5,0.0148
8,0.0493,0.029,12362.593,-52490.352,7880,7270,8310,8390,6710,9300,2590,-248062.516,4,0.013
9,0.0243,0.0188,-3291.045,-42372.203,6630,6710,7010,6500,6500,7530,1030,-97528.852,2,0.017
9,0.0359,0.0163,-15590.909,-54011.367,4560,5120,5380,5380,4560,6500,1940,-221698.375,4,0.0177
9,0.0402,0.0214,11670.608,-32032.094,6930,6460,6760,6840,6460,7750,1290,-130921.875,5,0.0163
9,0.0486,0.0123,6993.47,-43400.656,6240,5900,6670,6200,5680,7790,2110,-416193.75,6,0.0166
9,0.0388,0.0195,9788.551,-35547.895,5720,5340,5770,5770,4990,6370,1380,-175102.953,5,0.013
9,0.0395,0.0195,-39194.379,-58918.004,4000,5550,5680,5680,4000,6330,2330,-143325,4,0.0166
9,0.0587,0.0181,3743.055,-21947.916,6240,6020,6200,5940,5640,6930,1290,-199828.125,9,0.0163
9,0.0692,0.0253,-1298.756,-19914.268,6540,6630,7450,6760,6540,7920,1380,-175102.953,10,0.0137
9,0.062,0.0301,2740.132,-20792.764,6670,6500,6580,6630,6500,7790,1290,-129042.617,8,0.0148
9,0.0348,0.0141,4880.86,-49382.816,6670,6500,6500,6500,6370,8090,1720,-230654.609,4,0.0159
9,0.0507,0.0181,0,-28153.125,7450,7450,8310,7320,7140,8570,1430,-140209.25,7,0.0134
9,0.0373,0.0159,-4549.151,-25421.725,5510,5680,5550,5590,5420,6370,950,-163652.344,4,0.0134
9,0.0344,0.0123,-9864.474,-54834.871,6240,6580,6580,6110,5640,7530,1890,-129423.922,4,0.0148
9,0.0486,0.0195,6993.47,-25711.289,7100,6760,7960,6930,6710,7960,1250,-143615.141,6,0.0156
9,0.0322,0.0166,8051.966,-49240.871,6840,6580,6630,6630,6200,7790,1590,-189694.859,2,0.0123
9,0.0373,0.0174,27830.098,-55392.602,7190,6150,7230,7230,6150,8220,2070,-60778.848,4,0.0185
9,0.0562,0.0152,33786.289,-33786.289,6890,4990,6110,6800,4990,6890,1900,-182109.375,6,0.0141
9,0.0682,0.0355,2492.354,-27709.111,6840,6670,6970,8260,6370,8260,1890,-99225,8,0.0152
9,0.0391,0.0126,17609.375,-25265.625,6800,6110,6800,6150,6020,7010,990,-107625,3,0.0137
9,0.0417,0.0228,12223.37,-23727.717,6280,5770,5810,5850,5640,6630,990,-293032.906,6,0.0097
9,0.05,0.0326,19773.1,-47335.602,6630,5640,6330,5640,5290,7660,2370,-77175,6,0.0134
9,0.0489,0.0199,22050,-31645.834,5980,4900,5550,5900,4560,6110,1550,-248062.516,5,0.0163
9,0.05,0.0308,-6990.49,-26563.859,7530,7880,7790,7060,6890,8220,1330,-134053.984,8,0.0123
9,0.0555,0.0228,-20176.471,-20897.059,6890,8010,7960,7060,6890,8050,1160,-104125,9,0.0119
9,0.0573,0.0282,-6105.617,-28609.178,6280,6630,6540,6540,6110,7750,1640,-118518.75,7,0.0137
9,0.0551,0.029,0,-32821.137,7360,7360,7450,7360,7190,9000,1810,-72907.258,7,0.013
9,0.0518,0.0312,-8288.024,-19081.73,6110,6540,6410,6020,5980,6970,990,-107744.32,7,0.0159
9,0.0518,0.0279,4240.385,-21587.414,6760,6540,6670,6580,6410,7530,1120,-119437.5,8,0.0137
